	ZipCode	Latitude	Longitude	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SiteEnergyUse(kBtu)	TotalGHGEmissions	Distribution Center	Hotel	Office	Other	Refrigerated Warehouse	Retail Store	Self-Storage Facility	Senior Care Community	Supermarket / Grocery Store	Warehouse	Worship Facility	Public services	Library	Banks	Education	Manufacturing/Industrial Plant	Food Service	Mall	General Medical	Data Center	Entertainment
1488	98107.0	47.67477	-122.38241000000001	1910.0	1.0	2.0	21765.0	80.0	431390.4063	17.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21765.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1494	98122.0	47.61065	-122.31711000000001	1939.0	1.0	2.0	2200000.0		114648520.0	3243.48	0.0	0.0	0.0	318960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1719643.0	0.0	0.0	0.0	0.0	0.0	0.0
1496	98122.0	47.6101	-122.30838	1901.0	1.0	2.0	26560.0	1.0	1751483.875	64.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1497	98103.0	47.650220000000004	-122.34173999999999	1957.0	1.0	2.0	20140.0	49.0	116486.6016	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1508	98118.0	47.53846	-122.28305	1992.0	1.0	2.0	38845.0	82.0	6917280.0	215.56	0.0	0.0	0.0	6000.0	0.0	38845.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1509	98118.0	47.53747	-122.28308	1953.0	1.0	1.0	26092.0	40.0	7619445.0	173.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25946.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1510	98125.0	47.70743	-122.28463	1955.0	1.0	1.0	38582.0	85.0	1848878.5	64.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40374.0	0.0	0.0	0.0	0.0	0.0	0.0
1512	98108.0	47.55045	-122.32749	1967.0	1.0	1.0	25500.0	98.0	1213869.75	55.3	0.0	0.0	25500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1513	98108.0	47.5478	-122.32307	1961.0	1.0	1.0	41895.0		1242311.5	25.09	0.0	0.0	2596.0	0.0	0.0	0.0	0.0	0.0	0.0	37524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1514	98108.0	47.54912	-122.32184	1958.0	1.0	2.0	56193.0		2497942.75	46.9	0.0	0.0	0.0	0.0	0.0	56193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1518	98107.0	47.6712	-122.37568	1922.0	1.0	3.0	35448.0	97.0	1379932.5	60.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35448.0	0.0	0.0	0.0	0.0	0.0	0.0
1519	98107.0	47.66986	-122.37418000000001	1966.0	1.0	1.0	29214.0	8.0	9336239.0	208.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
